Name;Analys
улица 51-й Гвардейской дивизии; гвардейский дивизия
улица Горького; горький
Пионерская улица;"пионерский 
"
улица Арсеньева; арсеньев
улица Кухаренко; кухаренко
Молодёжная улица;"молодежный 
"
улица Циолковского; циолковский
Рабоче-Крестьянская улица;"рабочекрестьянский 
"
9-я улица;
улица Карбышева; карбышева
улица Машиностроителей; машиностроитель
улица 40 лет Победы; год победа
Дубовская улица;"дубовский 
"
улица Мира; мир
Оломоуцкая улица;"оломоуцкий 
"
улица Пушкина; пушкин
бульвар 30-летия Победы;летие победа
улица Дружбы; дружба
улица Клавы Нечаевой; клава нечаева
улица Рихарда Зорге; рихард зорге
Коммунистическая улица;"коммунистический 
"
проспект Ленина;ленин
бульвар Энгельса;энгельс
Университетский проспект;"университетский 
"
Метростроевская улица;"метростроевский 
"
шоссе Авиаторов;
Комсомольская улица;"комсомольский 
"
Сталинградская улица;"сталинградский 
"
улица Космонавтов; космонавт
улица Константина Симонова; константин симонова
улица 8-й Воздушной Армии;  воздушный армия
улица Землячки; землячка
Изобильная улица;"изобильный 
"
Гражданская улица;"гражданский 
"
проспект Героев Сталинграда;герой сталинград
улица Милиционера Буханцева; милиционер буханцев
улица Александрова; александров
улица Фадеева; фадеева
Комсомольская площадь;
Камская улица;"камский 
"
улица 87-й Гвардейской Дивизии;  гвардейский дивизия
улица Автомобилистов; автомобилист
Электролесовская улица;"электролесовский 
"
улица Маршала Еременко; маршал еременко
улица Вершинина; вершинина
улица Бульвар-Профсоюзов; профсоюз
улица Тулака; тулак
улица 40-летия Победы; летие победа
улица Маршала Ерёменко; маршал еременко
Андижанская улица;"андижанский 
"
Лазоревая улица;"лазоревый 
"
улица 64-й Армии;  армия
проспект Маршала Жукова;маршал жуков
Колосовая улица;"колосовой 
"
Историческая улица;"исторический 
"
Московская улица;"московский 
"
Остравская улица;"остравский 
"
Пролетарская улица;"пролетарский 
"
Петропавловская улица;"петропавловский 
"
улица Тельмана; тельман
площадь Свободы;
Корпоративная улица;"корпоративный 
"
улица Энгельса; энгельс
площадь Труда;
улица Химиков; химик
Удмуртская улица;"удмуртский 
"
улица Панфёрова; панферов
Гагринская улица;"гагринский 
"
улица Гороховцев; гороховец
Саушинская улица;"саушинский 
"
проспект Столетова;столетова
2-я Динамовская улица;"динамовский 
"
улица Бахтурова; бахтурова
Олимпийская улица;"олимпийский 
"
Ангарская улица;"ангарский 
"
проспект Канатчиков;канатчик
улица Ломакина; ломакина
проспект Металлургов;металлург
улица Николая Отрады; николай отрада
улица Грамши; грамша
Палласовская улица;"палласовский 
"
Светлоярская улица;"светлоярский 
"
улица 40 лет ВЛКСМ; год влксм
улица Дзержинского; дзержинский
Гремячинская улица;"гремячинский 
"
Мачтозаводская улица;"мачтозаводской 
"
Пятиморская улица;"пятиморский 
"
Марийская улица;"марийский 
"
улица Копецкого; копецкий
Олимпийский переулок;"олимпийский 
"
Вилянская улица;"вилянский 
"
Брестская улица;"брестский 
"
Николаевская улица;"николаевский 
"
улица 50 лет Октября; год октябрь
улица Янгеля; янгель
Баррикадная улица;"баррикадный 
"
улица Свердлова; свердлов
Астраханская улица;"астраханский 
"
проспект 9 Мая;май
Советская улица;"советский 
"
Набережная улица;"набережная 
"
